india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
charity cmt uk has launched cmt awareness month to try to draw attention to the condition	charity cmt uk hat einen cmtawarenessmonat gestartet um auf diese krankheit aufmerksam zu machen
retired sergeant major berni biether has been working as an artificer ever since the closure of the former military training ground	stabsfeldwebel a d berni diether arbeitet seit der schlieung des ehemaligen truppenubungsplatzes als feuerwerker
not a shot has been fired in the former military training ground in munsingen for almost ten years	seit knapp zehn jahren wird auf dem ehemaligen truppenubungsplatz in munsingen nicht mehr geschossen
nevertheless deadly ammunition turns up in the center of the biosphere region of swabian jura every month	trotzdem taucht noch jeden monat todbringende munition im herzstuck des biospharengebietes schwabische alb auf
the shells are sometimes so dangerous still that they have to be detonated there	die granaten sind manchmal noch so gefahrlich dass sie vor ort gesprengt werden mussen
a deafening bang echoes across the center of the biosphere region upon detonation	ein ohrenbetaubender knall hallt bei den sprengungen uber das herzstuck des biospharengebietes
the last live round to be fired at the military training ground in munsingen was in december which at the end of after years of military operation was closed down	im dezember fiel der letzte scharfe schuss auf dem truppenubungsplatz munsingen der ende nach jahren militarischen betriebs geschlossen wurde
since then the hectares of land has been the center of the swabian juras biosphere region which opened up designated pathways for hikers and cyclists	seit dieser zeit ist das hektar groe areal das kernstuck des biospharengebietes schwabische alb das auf ausgewiesenen wegen fur wanderer und radfahrer geoffnet ist
washingtonarea business owners tax burden mounts as economy rebounds	steuerbelastung von geschaftsleuten im raum washington steigt mit der wirtschaftlichen erholung
a rebounding economy means more customers higher sales and new jobs	eine erholung der wirtschaft bedeutet mehr kunden mehr verkaufe und neue jobs
it also means higher taxes	sie bedeutet auch hohere steuern
state and local tax bills for companies across the country grew modestly last year as the economic recovery accelerated according to new research released last week and washingtonarea firms were no exception	staatliche und ortliche steuerbescheide fur unternehmen im land stiegen im vergangenen jahr leicht an wahrend sich die wirtschaftliche erholung beschleunigte so eine neu veroffentlichte studie in der vergangenen woche und die firmen im raum washington bildeten keine ausnahme
district maryland and virginia businesses collectively paid billion to state and local coffers in fiscal an increase of percent over the billion collected in	unternehmen im raum district maryland und virginia zahlten gemeinsam milliarden an staatliche und ortliche stellen im finanzjahr ein anstieg um prozent gegenuber den einnahmen von in hohe von milliarden
businesses state and local tax burdens last year expanded by percent to billion compared with percent the year before and it was the third consecutive year of growth after backtoback years of shrinking bills in and	die staatliche und ortliche steuerlast der unternehmen stieg im vergangenen jahr um prozent auf milliarden an im vergleich zu prozent im jahr zuvor und es war das dritte wachstumsjahr in folge nach den mehreren jahren sinkender bescheide und
state taxes rose at a faster clip percent than local levies percent according to the study which was conducted by professional services firm ernst young and the center on state taxation a tax policy group	staatliche steuern stiegen starker an als die ortlichen abgaben um prozent so die studie die von der dienstleistungsagentur ernst young mit dem zentrum fur staatliche besteuerung einer steuerpolitikgruppe durchgefuhrt wurde
more than half of the districts tax revenue percent comes from business taxes while percent of marylands revenue comes from firms	mehr als die halfte der steuereinnahmen des district prozent stammt aus unternehmenssteuern wahrend prozent der einnahmen marylands aus unternehmen stammen
virginia at percent generates the least amount of tax revenue proportionately from business	virginia erzielt mit prozent die geringsten steuereinnahmen aus unternehmen
much of the growth in tax revenue is being driven by a rebound in companies real estate values researchers say which pushed property taxes up percent this year after three consecutive years of percent growth	ein groteil des anstiegs bei den steuereinnahmen ist in einer erholung der immobilienwerte der unternehmen begrundet sagen die forscher was zu einer erhohung der immobiliensteuern um prozent in diesem jahr nach den drei aufeinanderfolgenden jahren mit wachstumsraten von weniger als prozent fuhrte
while a large share of those gains came from big states such as california new york and texas it appears to be the same story in the washington area as well	wahrend ein groer teil dieser gewinne aus groen staaten wie kalifornien new york und texas stammte scheint der ablauf auch fur den raum washington zuzutreffen
companies in the district maryland and virginia collectively forked over billion in state and local property taxes last year up from billion in yearoveryear growth of percent	unternehmen im district maryland und virginia zahlten gemeinsam uber milliarden an staatlichen und ortlichen immobiliensteuern im vergangenen jahr im vergleich zu milliarden ein anstieg im verlauf eines jahres um prozent
but the apparent bounceback in property values isnt doing nearly as much to inflate state and local tax revenues in maryland where property taxes amount to barely more than a fifth of companies tax bills	aber die scheinbare erholung bei den immobilienwerten ist in maryland nicht so wirksam bei der erhohung von staatlichen und ortlichen steuereinnahmen da sich hier die immobiliensteuern auf knapp mehr als ein funftel der steuerbescheide von unternehmen belaufen
virginia and dc firms pay nearly half of their state and local tax bills in the form of property taxes	unternehmen in virginia und dc zahlen fast die halfte ihrer staatlichen und ortlichen steuern in form von immobiliensteuern
whats happening in maryland is that so much of their property especially the tax base surrounding the dc area is owned either by the government or by nonprofits which dont pay property taxes said douglas lindholm executive director of the center on state taxation	in maryland geschieht folgendes ein groer teil der immobilien insbesondere im steuergebiet um dc ist entweder im besitz der regierung oder von nonprofitorganisationen die keine immobiliensteuern bezahlen sagte douglas lindholm geschaftsfuhrer des center on state taxation
